Age,Season,Tm,Lg,Pos,G,GS,MP,FG,FGA,Field Goal Percentage,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,Total Rebounds per Game,Assists per Game,STL,BLK,TOV,PF,Points per Game,Name
31,2015,CLE,NBA,SF,76,76,35.6,9.7,18.6,0.52,1.1,3.7,0.309,8.6,14.9,0.573,0.551,4.7,6.5,0.731,1.5,6,7.4,6.8,1.4,0.6,3.3,1.9,25.3,LeBron James
32,2016,CLE,NBA,SF,74,74,37.8,9.9,18.2,0.55,1.7,4.6,0.363,8.3,13.5,0.611,0.594,4.8,7.2,0.674,1.3,7.3,8.6,8.7,1.2,0.6,4.1,1.8,26.4,LeBron James
33,2017,CLE,NBA,PF,82,82,36.9,10.5,19.3,0.54,1.8,5,0.367,8.6,14.3,0.603,0.59,4.7,6.5,0.731,1.2,7.5,8.6,9.1,1.4,0.9,4.2,1.7,27.5,LeBron James
34,2018,LAL,NBA,SF,55,55,35.2,10.1,19.9,0.51,2,5.9,0.339,8.1,14,0.582,0.56,5.1,7.6,0.665,1,7.4,8.5,8.3,1.3,0.6,3.6,1.7,27.4,LeBron James
35,2019,LAL,NBA,PG,67,67,34.6,9.6,19.4,0.49,2.2,6.3,0.348,7.4,13.1,0.564,0.55,3.9,5.7,0.693,1,6.9,7.8,10.2,1.2,0.5,3.9,1.8,25.3,LeBron James
36,2020,LAL,NBA,PG,45,45,33.4,9.4,18.3,0.51,2.3,6.3,0.365,7.1,12,0.591,0.576,4,5.7,0.698,0.6,7,7.7,7.8,1.1,0.6,3.7,1.6,25,LeBron James
37,2021,LAL,NBA,PF,56,56,37.2,11.4,21.8,0.52,2.9,8,0.359,8.6,13.8,0.62,0.59,4.5,6,0.756,1.1,7.1,8.2,6.2,1.3,1.1,3.5,2.2,30.3,LeBron James
21,2015,MIL,NBA,PG,80,79,35.3,6.4,12.7,0.51,0.4,1.4,0.257,6.1,11.3,0.537,0.52,3.7,5.1,0.724,1.4,6.2,7.7,4.3,1.2,1.4,2.6,3.2,16.9,Giannis Antetokounmpo
22,2016,MIL,NBA,SF,80,80,35.6,8.2,15.7,0.52,0.6,2.3,0.272,7.6,13.5,0.563,0.541,5.9,7.7,0.77,1.8,7,8.8,5.4,1.6,1.9,2.9,3.1,22.9,Giannis Antetokounmpo
23,2017,MIL,NBA,PF,75,75,36.7,9.9,18.7,0.53,0.6,1.9,0.307,9.3,16.8,0.554,0.545,6.5,8.5,0.76,2.1,8,10,4.8,1.5,1.4,3,3.1,26.9,Giannis Antetokounmpo
24,2018,MIL,NBA,PF,72,72,32.8,10,17.3,0.58,0.7,2.8,0.256,9.3,14.5,0.641,0.599,6.9,9.5,0.729,2.2,10.3,12.5,5.9,1.3,1.5,3.7,3.2,27.7,Giannis Antetokounmpo
25,2019,MIL,NBA,PF,63,63,30.4,10.9,19.7,0.55,1.4,4.7,0.304,9.5,15,0.631,0.589,6.3,10,0.633,2.2,11.4,13.6,5.6,1,1,3.7,3.1,29.5,Giannis Antetokounmpo
26,2020,MIL,NBA,PF,61,61,33,10.3,18,0.57,1.1,3.6,0.303,9.2,14.4,0.636,0.6,6.5,9.5,0.685,1.6,9.4,11,5.9,1.2,1.2,3.4,2.8,28.1,Giannis Antetokounmpo
27,2021,MIL,NBA,PF,67,67,32.9,10.3,18.6,0.55,1.1,3.6,0.293,9.2,15,0.616,0.582,8.3,11.4,0.722,2,9.6,11.6,5.8,1.1,1.4,3.3,3.2,29.9,Giannis Antetokounmpo
20,2015,DEN,NBA,C,80,55,21.7,3.8,7.5,0.51,0.4,1.1,0.333,3.5,6.5,0.541,0.535,1.9,2.4,0.811,2.3,4.7,7,2.4,1,0.6,1.3,2.6,10,Nikola Jokic
21,2016,DEN,NBA,C,73,59,27.9,6.8,11.7,0.58,0.6,1.9,0.324,6.2,9.8,0.628,0.605,2.6,3.1,0.825,2.9,6.9,9.8,4.9,0.8,0.8,2.3,2.9,16.7,Nikola Jokic
22,2017,DEN,NBA,C,75,73,32.6,6.7,13.5,0.5,1.5,3.7,0.396,5.2,9.7,0.538,0.554,3.5,4.2,0.85,2.6,8.1,10.7,6.1,1.2,0.8,2.8,2.8,18.5,Nikola Jokic
